gene_name	ensgene	log2FC_prot	AveExpr_prot	tstat_prot	pval_prot	padj_prot	B_prot	log2FC_rna	baseMean_rna	lfcSE_rna	stat_rna	pval_rna	padj_rna	log2fc_concordance	rna_DE_status	protein_DE_status	gene_DS_status	highest_magn_IncLevelDifference_rmats	sign_splice_event_rmats	highest_magn_deltaPSI_majiq	sign_splice_event_majiq	has_cryptic_splicing	tdp43_interactor	tdp43_clip_target	Fig1_plot_group
MADD	ENSG00000110514	-2.22695794345316	14.1566562533535	-13.26599998288	9.10044088083852e-09	2.30127398774204e-06	10.6863027748504	-0.768455759884671	10774.0976559664	0.0531586660202692	-14.4558887085628	2.30139995428001e-47	6.62843562270437e-45	concordant	Gene DE	Protein DE	DS	-0.35	TRUE	-0.286447936946146	TRUE	TRUE	FALSE	FALSE	DEP + DS
CAMK2B	ENSG00000058404	-0.941693663214263	17.521692448961	-13.1921183996616	9.720222076472613e-09	2.31341285420048e-06	10.6212729513008	-0.672047858359856	5685.29287466603	0.0500049970117775	-13.4396140090074	3.54279767165968e-41	7.96741224323794e-39	concordant	Gene DE	Protein DE	DS	-0.302	TRUE	0.321036935841598	TRUE	TRUE	FALSE	TRUE	DEP + DS
HMGCS1	ENSG00000112972	-0.58192060207848	17.4950136029914	-12.6992923421903	1.52125386218913e-08	3.29476159220012e-06	10.1778479861128	-0.0839510614169936	44259.7728526675	0.0523516175026277	-1.60360014497699	0.10880221877469599	0.25852961746403003	concordant	Gene not DE	Protein DE	No DS	0.26	FALSE	NA	NA	FALSE	FALSE	TRUE	DEP only
USP24	ENSG00000162402	-0.975130860592783	14.982619402789	-12.6809891775789	1.54721874077613e-08	3.29476159220012e-06	10.1610492084643	-0.410925621426887	7537.94389180528	0.0573462008013158	-7.16569913411698	7.73905712459829e-13	3.06889132402247e-11	concordant	Gene DE	Protein DE	No DS	0.108	FALSE	-0.143590209194264	FALSE	FALSE	FALSE	TRUE	DEP + DEG, no DS
ACTL6A	ENSG00000136518	0.881888106981974	16.1371317980799	12.6137684355422	1.6467383840621e-08	3.33135175095763e-06	10.0991460023032	0.200359433548475	1833.75667749473	0.0618339317041979	3.24028293246753	1.1941115030642E-3	7.6249430360973997E-3	concordant	Gene DE	Protein DE	No DS	0.011	FALSE	NA	NA	FALSE	FALSE	FALSE	DEP + DEG, no DS
RAB3C	ENSG00000152932	-1.16828579592129	15.7580207622079	-12.2361806547608	2.3498983953808e-08	4.34953060712858e-06	9.74525515901062	-0.568053079197223	10687.3704430641	0.0706822506857809	-8.0367146445649	9.22792312837556e-16	4.95081091498502e-14	concordant	Gene DE	Protein DE	No DS	-0.016	FALSE	NA	NA	FALSE	FALSE	TRUE	DEP + DEG, no DS
PPM1H	ENSG00000111110	-1.0490088793751	14.4498062646644	-12.2294487736862	2.36504382987713e-08	4.34953060712858e-06	9.73884900486623	-0.650486685629951	2798.78167326114	0.0533782662544911	-12.1863584427533	3.67478520295475e-34	6.41797326350087e-32	concordant	Gene DE	Protein DE	No DS	-0.016	FALSE	NA	NA	FALSE	FALSE	TRUE	DEP + DEG, no DS
KIF21A	ENSG00000139116	-0.610728064103323	17.1641021366513	-12.1656937232267	2.51378771942708e-08	4.42208048382694e-06	9.678007775784	-0.195087158991881	19380.9015594307	0.0570477046134055	-3.41971969448948	6.2685692054130005E-4	4.4646898327665996E-3	concordant	Gene DE	Protein DE	DS	-0.193	FALSE	0.197253168593637	TRUE	FALSE	FALSE	TRUE	DEP + DS
PTPN9	ENSG00000169410	-0.71476199028964	15.1832679192527	-11.9424780947087	3.11899844598428e-08	5.25811154685517e-06	9.46252799910297	-0.407560793503077	5985.25436644231	0.0518695506768441	-7.85741900951192	3.92129388860421e-15	1.9807963621297e-13	concordant	Gene DE	Protein DE	No DS	0.069	FALSE	NA	NA	FALSE	FALSE	TRUE	DEP + DEG, no DS
EPB41L1	ENSG00000088367	-0.600986679569417	16.9854354293296	-11.5277483727814	4.69999648112726e-08	7.31391760101572e-06	9.05170053318306	-0.376247496470661	21809.2698908469	0.0418627019863762	-8.98765437054462	2.52562853431728e-19	1.88469289308576e-17	concordant	Gene DE	Protein DE	DS	0.429	TRUE	0.182919605098564	TRUE	FALSE	FALSE	TRUE	DEP + DS
SYT1	ENSG00000067715	-0.582137079718088	18.4886888643328	-11.3786508844961	5.46309118277855e-08	8.1865433057489e-06	8.90057385287859	0.34141715878737	28359.738007761	0.0590066727773578	5.78607711157677	7.2049149933981715e-09	1.68494429411136e-07	discordant	Gene DE	Protein DE	No DS	-0.5	FALSE	NA	NA	FALSE	FALSE	TRUE	DEP + DEG, no DS
ELAVL3	ENSG00000196361	-0.438214031931668	19.403878667538	-11.1110014335343	7.18701361988538e-08	1.00639839362751e-05	8.6245748435041	-1.11041189310647	9236.59634275986	0.0430000941172658	-25.823475876082	4.83309069131824e-147	1.13349785541959e-143	concordant	Gene DE	Protein DE	DS	-0.232	TRUE	-0.122854247397794	FALSE	TRUE	TRUE	TRUE	DEP + DS
GABARAP	ENSG00000170296	-0.972100571993424	15.3751987053848	-11.1074563125457	7.2134338643593e-08	1.00639839362751e-05	8.62087787241414	0.0888784377509637	3066.54566308793	0.0610824642307149	1.45505651859854	0.14565361534976301	0.316003092797285	discordant	Gene not DE	Protein DE	No DS	-0.001	FALSE	NA	NA	FALSE	FALSE	FALSE	DEP only
SV2A	ENSG00000159164	-0.430227085160052	18.7010917858665	-11.054663270358	7.61944457846741e-08	1.0276090921493e-05	8.56569421880359	-0.0837204562125519	24087.4892551728	0.0389497142009373	-2.14944982088052	3.1598759743364797E-2	0.105545643683992	concordant	Gene not DE	Protein DE	No DS	-0.004	FALSE	NA	NA	FALSE	FALSE	TRUE	DEP only
FH	ENSG00000091483	-0.710374584196085	18.0244040305006	-10.9778235061741	8.25477146800622e-08	1.0773808180501e-05	8.48493959281986	-0.363969570559533	4261.78271400528	0.0730614804175021	-4.98168896222288	6.30316919106481e-07	1.00562807200885e-05	concordant	Gene DE	Protein DE	No DS	-0.222	FALSE	-0.151535186451472	FALSE	FALSE	TRUE	TRUE	DEP + DEG, no DS
RALY	ENSG00000125970	-0.553056428769057	19.0910302542976	-10.8000506765804	9.95290336159825e-08	1.25842021878208e-05	8.29610663555133	-0.467739062605787	10313.0554778921	0.0464009815999521	-10.0803699938596	6.74715715852816e-24	6.672775847684149e-22	concordant	Gene DE	Protein DE	No DS	-0.167	FALSE	NA	NA	FALSE	TRUE	FALSE	DEP + DEG, no DS
ATG4B	ENSG00000168397	-1.18315779817472	14.1830799432253	-10.7045159329449	1.10170350044131e-07	1.32040196514093e-05	8.19345641719976	-0.638761400580834	4326.79313732634	0.0496450104147056	-12.8665780356373	6.9409732809503e-38	1.38963363845562e-35	concordant	Gene DE	Protein DE	DS	-0.271	TRUE	0.214625327051276	TRUE	TRUE	FALSE	TRUE	DEP + DS
PREX1	ENSG00000124126	0.734880239816205	14.65000650753	10.6978406061835	1.10958148331171e-07	1.32040196514093e-05	8.18625294220818	-0.0942695779647585	1500.89469760164	0.0576210939907048	-1.63602548018206	0.101834254786197	0.24690783648279399	discordant	Gene not DE	Protein DE	No DS	0.055	FALSE	NA	NA	FALSE	FALSE	TRUE	DEP only
MICAL1	ENSG00000135596	-1.0821467035072	14.4278916833821	-10.6534033601239	1.16358781821913e-07	1.34510751786131e-05	8.13819614743696	0.0607106121592953	5886.72863810941	0.0548405493369992	1.10703873125384	0.26827718316509103	0.47195740634604499	discordant	Gene not DE	Protein DE	DS	0.321	TRUE	-0.235564194221951	TRUE	TRUE	FALSE	TRUE	DEP + DS
FASN	ENSG00000169710	-0.433942209823673	18.4744933867622	-10.6018043498171	1.22985473320829e-07	1.38222006960021e-05	8.08216705957001	-0.0722423392814134	28956.7259965962	0.0509962635580525	-1.41662024315125	0.15659398678157399	0.33128910837539899	concordant	Gene not DE	Protein DE	No DS	-0.003	FALSE	NA	NA	FALSE	FALSE	TRUE	DEP only
SYN1	ENSG00000008056	-0.51881125270423	16.1472018293099	-10.3668453453172	1.58710073980286e-07	1.73551610628172e-05	7.82390708885952	-0.376496918342159	2207.05986407138	0.0571696568679573	-6.58560745277413	4.5302931085457696e-11	1.45261371021477e-09	concordant	Gene DE	Protein DE	No DS	0.033	FALSE	NA	NA	FALSE	FALSE	TRUE	DEP + DEG, no DS
CRMP1	ENSG00000072832	-0.416904327920506	22.0125864195444	-10.3213012426881	1.66842415874354e-07	1.77643267007273e-05	7.77324476181833	-0.286014679614993	93522.9029118915	0.0418644892472779	-6.83191613602667	8.3787831093311e-12	2.97093914267578e-10	concordant	Gene DE	Protein DE	No DS	0.5	FALSE	-0.116212800540037	FALSE	FALSE	FALSE	TRUE	DEP + DEG, no DS
RHOB	ENSG00000143878	-0.623891550343643	17.4169501426869	-10.2971337605301	1.71338000625344e-07	1.77752192443626e-05	7.7462810322407	-0.158455966075264	5868.16050926485	0.0507743975733947	-3.120784758622	1.8036981688768E-3	1.07404108953394E-2	concordant	Gene DE	Protein DE	No DS	NA	NA	NA	NA	FALSE	FALSE	TRUE	DEP + DEG, no DS
SLC25A1	ENSG00000100075	-0.473238773258828	17.5497343991643	-10.2028538814239	1.90155838297256e-07	1.92342630437675e-05	7.64055678303543	-0.343339167951056	4981.71300705589	0.0460785487469653	-7.45117147322631	9.2515023032759e-14	4.07190116120323e-12	concordant	Gene DE	Protein DE	No DS	0.334	FALSE	NA	NA	FALSE	TRUE	FALSE	DEP + DEG, no DS
MYO5A	ENSG00000197535	-0.417641032285715	19.0889068945754	-10.1446461169722	2.02870009406494e-07	2.0019806294114e-05	7.57485433011496	-0.196693924397329	25084.7955488924	0.0644656057100728	-3.05114521504597	2.2797028920043998E-3	1.3076828224331399E-2	concordant	Gene DE	Protein DE	No DS	-0.009	FALSE	NA	NA	FALSE	FALSE	TRUE	DEP + DEG, no DS
RAB3B	ENSG00000169213	-1.08858414531125	14.3697106246109	-9.97249340645467	2.46098187852372e-07	2.37074587631118e-05	7.37859355384742	-0.45114851001932	4623.84471813883	0.0541233297548279	-8.3355645719317	7.71292697722512e-17	4.522254363753741e-15	concordant	Gene DE	Protein DE	No DS	0.027	FALSE	NA	NA	FALSE	FALSE	FALSE	DEP + DEG, no DS
MYO18A	ENSG00000196535	-0.43633218266509	17.6115782918745	-9.89246514457494	2.69462344528768e-07	2.53545266503115e-05	7.28635742683637	-0.243258023062552	6521.17563837351	0.051479061476339	-4.72537797089327	2.29687731602681e-06	3.22841052202158e-05	concordant	Gene DE	Protein DE	DS	-0.567	TRUE	0.730169162588536	TRUE	TRUE	FALSE	TRUE	DEP + DS
PDE1C	ENSG00000154678	-1.00153778044356	14.4227175064162	-9.81760784224993	2.93474863240753e-07	2.69863476516383e-05	7.19949847994618	-0.896390719595464	2258.92143620765	0.0611026971066543	-14.6702316271051	1.00003100978223e-48	3.04027946066572e-46	concordant	Gene DE	Protein DE	No DS	0.667	FALSE	NA	NA	FALSE	FALSE	TRUE	DEP + DEG, no DS
MYO6	ENSG00000196586	0.634180750677315	16.1616576438	9.72957302935968	3.2467979859481e-07	2.91923214469911e-05	7.09662168104098	0.453728221700429	1787.40867607817	0.145983170351481	3.10808581981057	1.8830337904146999E-3	1.11280654201725E-2	concordant	Gene DE	Protein DE	No DS	0.144	FALSE	NA	NA	FALSE	FALSE	TRUE	DEP + DEG, no DS
RANBP1	ENSG00000099901	-0.913198243618227	15.9249986283565	-9.64084164323516	3.59751446625825e-07	3.1642485935828e-05	6.99212693050565	-0.726231176302274	3396.49494043296	0.0600347287341261	-12.0968511329253	1.09740375899851e-33	1.87667474077902e-31	concordant	Gene DE	Protein DE	No DS	-0.057	FALSE	NA	NA	FALSE	FALSE	TRUE	DEP + DEG, no DS
AARS	ENSG00000090861	-0.555688642295728	18.3576540359554	-9.49392527396338	4.2703975326929e-07	3.67617625899478e-05	6.81731277182628	0.0318602107630487	9569.43409469058	0.0559605577644215	0.569333331114592	0.56912995123789001	0.74384256105982305	discordant	Gene not DE	Protein DE	No DS	NA	NA	-0.122791142333251	FALSE	FALSE	FALSE	TRUE	DEP only
CHID1	ENSG00000177830	-1.48683793609991	14.5578417826445	-9.36823263908496	4.95321982324486e-07	4.13121119726559e-05	6.66594737006585	-1.00084628270309	1843.43216061155	0.0640314207620505	-15.6305493582966	4.50898836486835e-55	1.9480016312116707e-52	concordant	Gene DE	Protein DE	DS	0.37	FALSE	0.366617518750818	TRUE	FALSE	FALSE	TRUE	DEP + DS
AGPAT4	ENSG00000026652	-1.50315372951379	14.6915175728161	-9.35977209419861	5.00319695170573e-07	4.13121119726559e-05	6.65569828954447	-0.241991074716774	7178.03056738259	0.041760917958124	-5.7946780518434	6.84523669838281e-09	1.60540358396215e-07	concordant	Gene DE	Protein DE	DS	0.606	TRUE	0.632631629794179	TRUE	FALSE	FALSE	TRUE	DEP + DS
SEZ6L	ENSG00000100095	-0.729752752621474	15.1278882473741	-9.2964047627521	5.3950979025614e-07	4.36571322275269e-05	6.57869089513798	-0.662515341064159	23846.7920673958	0.0408020193974289	-16.2373174379185	2.74675609879731e-59	1.36646954163501e-56	concordant	Gene DE	Protein DE	DS	0.236	TRUE	NA	NA	FALSE	FALSE	TRUE	DEP + DS
TTI2	ENSG00000129696	1.50498032142781	13.3232567287083	9.64357936476887	7.03691300917325e-07	5.4752596221375e-05	6.40924954092281	-0.0520383956286777	603.486525475171	0.0798933507188556	-0.651348268165652	0.51482169668223698	0.70297162059654705	discordant	Gene not DE	Protein DE	No DS	0.351	FALSE	-0.1142354857485	FALSE	FALSE	FALSE	TRUE	DEP only
RAP1GAP	ENSG00000076864	-1.0981579999278	14.5604449874674	-9.09475319801543	6.8765462631446e-07	5.45539336876138e-05	6.33073238140808	-0.582698941847015	1851.5535163298	0.0669047144706005	-8.70938537676694	3.05526879808835e-18	2.06412954149039e-16	concordant	Gene DE	Protein DE	No DS	-0.5	FALSE	-0.130524090627897	FALSE	FALSE	FALSE	TRUE	DEP + DEG, no DS
APLP2	ENSG00000084234	-0.666807464349411	14.4634280432103	-8.89430325165258	8.7877642824697e-07	6.70854609186272e-05	6.07979577075836	0.140313575481061	17777.0682252663	0.0441151129026207	3.18062374204478	1.4695836208963001E-3	9.0437768318308992E-3	discordant	Gene DE	Protein DE	No DS	-0.055	FALSE	NA	NA	FALSE	FALSE	TRUE	DEP + DEG, no DS
ATP6V0A1	ENSG00000033627	-0.390683262418964	18.7262010974295	-8.82872417517778	9.53045010750917e-07	7.07380805886907e-05	5.99671738635473	-0.160898170497515	13300.1384757188	0.0456416177665845	-3.52525125906718	4.2308129722110001E-4	3.2200860716179E-3	concordant	Gene DE	Protein DE	No DS	0.5	FALSE	NA	NA	FALSE	FALSE	TRUE	DEP + DEG, no DS
ARF5	ENSG00000004059	-0.4208376263174	16.7060336564191	-8.82153098819934	9.61590319421154e-07	7.07380805886907e-05	5.98757496814711	-0.0584247335750558	7471.23023707108	0.050987210643561	-1.14587036312868	0.25184879565984197	0.45196782666677099	concordant	Gene not DE	Protein DE	No DS	0.004	FALSE	NA	NA	FALSE	TRUE	FALSE	DEP only
DCTN4	ENSG00000132912	-0.411229996816211	16.7071313548344	-8.75075672556418	1.05016731812282e-06	7.5874588734374e-05	5.8973064185458	-0.153823463288427	7738.83869105226	0.0466389437815815	-3.29817639114663	9.7314980719309999E-4	6.4213024054216999E-3	concordant	Gene DE	Protein DE	No DS	-0.013	FALSE	NA	NA	FALSE	TRUE	FALSE	DEP + DEG, no DS
HSDL1	ENSG00000103160	-0.780306269572851	17.2096784727927	-8.68575560965433	1.13921954720682e-06	7.96963814070491e-05	5.81389355073195	-0.405281706627514	6257.05606366756	0.0482599124905041	-8.39789559724668	4.54551053734984e-17	2.7435164151350107e-15	concordant	Gene DE	Protein DE	No DS	0.004	FALSE	NA	NA	FALSE	FALSE	TRUE	DEP + DEG, no DS
PGM2L1	ENSG00000165434	-0.368750868852061	18.433618677196	-8.6722535827847	1.15870941789296e-06	7.96963814070491e-05	5.79650572136997	-0.0630686476561693	13547.9922693849	0.127475770164043	-0.494750081329251	0.62077654510028701	0.77950807258003796	concordant	Gene not DE	Protein DE	No DS	-0.012	FALSE	NA	NA	FALSE	FALSE	TRUE	DEP only
SLC25A4	ENSG00000151729	-0.284095791839107	19.4514796516831	-8.66989056687468	1.16215682229755e-06	7.96963814070491e-05	5.79346046833386	-0.0009710513062217	7137.97936101532	0.0421176129941441	-0.0230557060856404	0.98160583770756205	0.99303275604226504	concordant	Gene not DE	Protein DE	No DS	-0.004	FALSE	NA	NA	FALSE	FALSE	FALSE	DEP only
AKR1C1	ENSG00000187134	-0.544064239404562	18.8606056123229	-8.53493429809583	1.3784210188808e-06	9.29515240398622e-05	5.61845890351101	-0.16712058226233	3736.40635894686	0.0480480312067359	-3.47819833747738	5.0479626462180001E-4	3.7229291447874002E-3	concordant	Gene DE	Protein DE	No DS	0.018	FALSE	NA	NA	FALSE	FALSE	FALSE	DEP + DEG, no DS
PDE1B	ENSG00000123360	-1.12914250945974	13.7847285481834	-8.46585770090257	1.50539123831415e-06	9.89297995284103e-05	5.52805649612941	-0.713076101321774	664.608917360141	0.0838634166698823	-8.50282673467392	1.85028968606195e-17	1.1683156067722701e-15	concordant	Gene DE	Protein DE	No DS	0.036	FALSE	NA	NA	FALSE	FALSE	FALSE	DEP + DEG, no DS
CPE	ENSG00000109472	-0.938692948888917	16.2417562757335	-8.43416891831195	1.56776261412682e-06	1.006851989961E-4	5.48639509064351	-0.0820030059594729	51441.8206418457	0.0418548745405137	-1.95922235724533	5.00867519444941E-2	0.14720268647919099	concordant	Gene not DE	Protein DE	No DS	NA	NA	NA	NA	FALSE	FALSE	TRUE	DEP only
ATP8A2	ENSG00000132932	-0.517020773901839	16.1969505248554	-8.36189079833548	1.72057587053154e-06	1.087726558151E-4	5.39092200147812	-0.135160822478246	12768.4354453708	0.0431092224863674	-3.13531106994538	1.7167196774255E-3	1.02971819306887E-2	concordant	Gene DE	Protein DE	No DS	0.048	FALSE	NA	NA	FALSE	FALSE	FALSE	DEP + DEG, no DS
SYN2	ENSG00000157152	-0.672378638187352	14.2577963553931	-8.31306898383696	1.83273951736774e-06	1.1408098595790001E-4	5.32607765488107	-0.444613868160308	1059.91014921045	0.0754997587920097	-5.88894422014184	3.88670592572665e-09	9.52358972875439e-08	concordant	Gene DE	Protein DE	No DS	-0.075	FALSE	NA	NA	FALSE	FALSE	TRUE	DEP + DEG, no DS
DRG2	ENSG00000108591	-0.778506328997125	14.2868400081538	-8.24964742531614	1.99022438979681e-06	1.2200678607750001E-4	5.24141186690912	-0.0005715475107216	972.397536097966	0.0738101906740458	-0.0077434769576145	0.99382166103232705	0.99794059104982002	concordant	Gene not DE	Protein DE	No DS	-0.062	FALSE	NA	NA	FALSE	FALSE	TRUE	DEP only
SYT11	ENSG00000132718	-0.772166512572745	15.286425719299	-8.19171097671179	2.14673636479048e-06	1.296372437603E-4	5.16364091344253	0.0482188368229022	11340.4184100789	0.0407641054016257	1.18287489318922	0.23685873329006299	0.43354998599876998	discordant	Gene not DE	Protein DE	No DS	-0.005	FALSE	NA	NA	FALSE	TRUE	TRUE	DEP only
FARP1	ENSG00000152767	-0.340216100495063	16.5941376056453	-8.13596857100708	2.30975672781763e-06	1.374305253051E-4	5.08842730071818	-0.118694528968728	10977.7321593692	0.0495726555624375	-2.39435486402843	1.6649631372723399E-2	6.4987398536851995E-2	concordant	Gene not DE	Protein DE	No DS	-0.026	FALSE	NA	NA	FALSE	TRUE	TRUE	DEP only
KIF3A	ENSG00000131437	-0.410331592617027	16.6621591071055	-8.10036881354671	2.42073788171782e-06	1.4194645607870001E-4	5.04019222928872	0.0158988945323074	10929.8924889521	0.0644646281331159	0.246629740878627	0.80519478550721302	0.89899910185472798	discordant	Gene not DE	Protein DE	No DS	0.034	FALSE	NA	NA	FALSE	FALSE	TRUE	DEP only
LSM14A	ENSG00000257103	0.870743667361271	14.5573289452615	8.08006887257489	2.48655506855254e-06	1.437228829623E-4	5.01261719861218	0.48346701654667	4499.88479603331	0.0596523160732364	8.10474845525036	5.28547550467978e-16	2.86375086997782e-14	concordant	Gene DE	Protein DE	No DS	-0.023	FALSE	NA	NA	FALSE	TRUE	TRUE	DEP + DEG, no DS
FMNL1	ENSG00000184922	1.70970319160082	12.8949333466194	8.29894357638983	3.2659962177714e-06	1.7387132496180001E-4	4.83966375961485	-0.211521603853669	400.868736371186	0.0974791935179456	-2.16991540676553	3.0013254956893699E-2	0.101384281199038	discordant	Gene not DE	Protein DE	No DS	0.057	FALSE	-0.187590767589143	FALSE	FALSE	FALSE	FALSE	DEP only
RAPH1	ENSG00000173166	-0.43284034902568	15.2654615864791	-7.922520347213	3.06704064043696e-06	1.7387132496180001E-4	4.79686283585811	-0.225640605045667	2401.87553493806	0.0683614589017001	-3.30069908791919	9.644426066978E-4	6.3775118614105E-3	concordant	Gene DE	Protein DE	No DS	-0.129	FALSE	NA	NA	FALSE	FALSE	TRUE	DEP + DEG, no DS
GLS	ENSG00000115419	-0.516271111839441	16.4791001476917	-7.90940650232106	3.12148161152084e-06	1.7387132496180001E-4	4.77876393633387	-0.0131241180359577	4260.66832183988	0.0658079087437412	-0.199430711087683	0.84192583898514495	0.92005004153094005	concordant	Gene not DE	Protein DE	No DS	0.796	FALSE	NA	NA	FALSE	FALSE	TRUE	DEP only
EPM2AIP1	ENSG00000178567	-0.334558036563283	16.7908063755381	-7.88889397257871	3.20871182155334e-06	1.7387132496180001E-4	4.75041035506895	-0.0687736994847665	4350.89705640543	0.0531206734448857	-1.29466919420969	0.195434371312838	0.38259552514224499	concordant	Gene not DE	Protein DE	No DS	NA	NA	NA	NA	FALSE	FALSE	FALSE	DEP only
NECAP1	ENSG00000089818	-0.403931295085897	16.7291120728153	-7.8858906116715	3.22170006132835e-06	1.7387132496180001E-4	4.74625448139883	-0.289232112412199	10233.3729108154	0.0552117522842534	-5.23859686472383	1.61802045312881e-07	2.95144908655729e-06	concordant	Gene DE	Protein DE	No DS	0.035	FALSE	NA	NA	FALSE	FALSE	FALSE	DEP + DEG, no DS
