ID	dataset	subset	qvalue	Count	geneID	GeneRatio	BgRatio	pvalue	gs_subcat	gs_exact_source	modality
GOCC_MAIN_AXON	NYGC_ALS_Cervical_SC	negative	0.000262716371856292	24	TRIM46/DLG2/ANK3/DLG1/KCNQ2/CNTN2/KCNA1/IQCJ-SCHIP1/CLDN5/MYO1D/CNTNAP2/LRRC7/TUBB4A/BIN1/KCNC1/GJC2/GABBR1/ADORA1/UCN/CRHBP/DLG4/SPTBN4/SCN8A/MAG	24/3111	61/22688	6.15979878844239e-07	GO:CC	GO:0044304	RNAseq
GOMF_GLUTAMATE_RECEPTOR_BINDING	NYGC_ALS_Cervical_SC	negative	0.000378125551372801	18	MT-ND2/SHANK3/SHISA7/RASGRF1/SHANK2/GRIP2/SHANK1/HIP1/SYNDIG1/CACNG2/DNM3/HOMER1/CDK5R1/CAMK2A/ATP2B2/IGSF11/DLG4/CACNG3	18/3111	39/22688	9.71727580025719e-07	GO:MF	GO:0035254	RNAseq
GOCC_POSTSYNAPTIC_DENSITY_MEMBRANE	NYGC_ALS_Cervical_SC	negative	0.000378125551372801	30	DLG2/SLITRK1/SHISA7/DLG1/SYNDIG1/CACNG2/CACNG7/CACNG8/RGS7BP/GRID1/ABHD17A/EFNB2/OPRD1/LRFN3/ATP2B2/RNF10/ABHD17B/LRRC4B/GRIN2D/GRIN2B/PRRT1/LRFN1/PTPRS/DLG4/CACNA1C/CNIH2/AKAP9/CACNG3/GRID2/SEMA4C	30/3111	88/22688	9.90877787787321e-07	GO:CC	GO:0098839	RNAseq
GOBP_PROTEIN_LOCALIZATION_TO_SYNAPSE	NYGC_ALS_Cervical_SC	negative	0.000423456349075816	25	DLG2/KIF5C/DLG1/GRIP2/SHANK1/CACNG2/MAPK8IP3/PRKCZ/WNT7A/BSN/CACNG7/PCLO/KIF5A/HOMER1/CPLX1/NPHS1/STX1B/GRIPAP1/ABHD17B/GRIP1/DVL1/NPTX1/NRXN2/DLG4/CACNG3	25/3111	67/22688	1.16807064930902e-06	GO:BP	GO:0035418	RNAseq
GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY	NYGC_ALS_Cervical_SC	negative	0.000636352689653189	54	NECTIN1/SHANK3/SEMA3F/SLITRK1/LHFPL4/IL1RAPL1/EPHB2/ADGRL1/SRCIN1/SHANK2/NLGN3/CTTNBP2/SYNDIG1/LRP8/WNT7A/ADGRB1/NEURL1/KIF1A/SEMA4D/SYNGAP1/ARHGEF15/SLITRK2/DCTN1/DNM3/MDGA1/CDC20/NTNG2/CDH8/PTPRD/CUX2/ABL1/ABHD17A/HOMER1/CDK5R1/CHRNB2/LRFN3/STX1B/GRIPAP1/ABHD17B/LRTM2/LRRC4B/CBLN1/GRIN2B/NPTX1/ARHGAP22/AGRN/TANC2/VSTM5/ANAPC2/OXTR/GRID2/LRP4/DBNL/C1QL3	54/3111	208/22688	1.84309468039796e-06	GO:BP	GO:0050803	RNAseq
GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	NYGC_ALS_Cervical_SC	negative	0.000659487345708838	38	MECP2/SHANK3/MPP2/GABRD/RIMS1/MAPK8IP2/NLGN3/SHANK1/NTSR1/CHRNA4/PRKCZ/WNT7A/INSYN1/SLC8A2/KCNA1/RGS7BP/GRID1/CUX2/GABRA6/P2RX5/CHRNB2/STX1B/INSYN2A/RIMS2/DVL1/IGSF11/GRIN2D/CBLN1/GRIN2B/GABBR1/GRIN1/ADORA1/SEZ6/DLG4/GABRA5/TRPV1/GRID2/SLC8A3	38/3111	128/22688	2.00105771273442e-06	GO:BP	GO:0060078	RNAseq
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTRASPECIES_INTERACTION_BETWEEN_ORGANISMS	NYGC_ALS_Cervical_SC	negative	0.000846193531434611	21	MECP2/AVP/SHANK3/TH/ATXN1L/SHANK2/MAPK8IP2/NLGN3/SHANK1/ATXN1/GRID1/CNTNAP2/SEPTIN5/CHRNB2/RPTOR/DVL1/UCN/NRXN2/DLG4/OXTR/CLN8	21/3111	53/22688	2.68428116461182e-06	GO:BP	GO:0051703	RNAseq
GOBP_OLIGODENDROCYTE_DIFFERENTIATION	NYGC_ALS_Cervical_SC	negative	0.00110164573955163	30	TPPP/MTOR/ZNF488/ABCA2/NKX2-2/TNFRSF21/ASPA/CNTN2/NRG1/KCNJ10/BOK/FA2H/HES5/NKX6-2/MYRF/TMEM98/HDAC11/SLC45A3/PRDM8/DLX1/CNP/SOX8/SOX13/SHH/EIF2B5/SLC8A3/SOX10/MAG/ERCC2/OLIG1	30/3111	93/22688	3.6465625525228e-06	GO:BP	GO:0048709	RNAseq
GOMF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	NYGC_ALS_Cervical_SC	negative	0.00128092821332986	38	CACNA1B/CACNA1H/SLC24A2/TRPV5/CACNG2/CACNA1I/CACNG7/SLC8A2/LETM1/PSEN1/TSPOAP1/RYR2/CACNG8/CACNA1A/TRPM6/TRPC4AP/CACNA1G/ATP2C2/TRPV3/TRPV6/NCS1/ATP2B2/TRPC3/TMEM165/GRIN2D/GRIN2B/TMC2/GRIN1/CACNA1E/CACNB3/ATP2A3/CACNA1C/CACNA2D3/CACNG3/TRPV1/SLC8A3/ITPR1/SLC24A3	38/3111	132/22688	4.52317750344628e-06	GO:MF	GO:0015085	RNAseq
GOBP_DENDRITE_MORPHOGENESIS	NYGC_ALS_Cervical_SC	negative	0.00128092821332986	39	HECW2/SHANK3/KIDINS220/IL1RAPL1/EPHB2/SRCIN1/TAOK2/MAPK8IP2/SHANK1/DIP2A/LRP8/PHACTR1/WNT7A/CELSR2/KIF1A/SEMA4D/RERE/DNM3/PTPRD/CUX2/CDK5R1/CHRNB2/PARP6/ANKRD27/RBFOX2/DVL1/FBXO31/TANC2/ANAPC2/HDAC6/RAPGEF2/LZTS1/DLG4/CUX1/SARM1/BTBD3/LRP4/DOCK10/DBNL	39/3111	137/22688	4.59334013781179e-06	GO:BP	GO:0048813	RNAseq
GOBP_CHEMICAL_SYNAPTIC_TRANSMISSION_POSTSYNAPTIC	NYGC_ALS_Cervical_SC	negative	0.00136320582446471	31	MECP2/SHANK3/MPP2/RIMS1/MAPK8IP2/NLGN3/SHANK1/NTSR1/CHRNA4/PRKCZ/WNT7A/INSYN1/SLC8A2/CUX2/P2RX5/CHRNB2/STX1B/INSYN2A/RIMS2/DVL1/IGSF11/GRIN2D/CBLN1/GRIN2B/GRIN1/ADORA1/SEZ6/DLG4/TRPV1/GRID2/SLC8A3	31/3111	99/22688	5.0763979961556e-06	GO:BP	GO:0099565	RNAseq
GOBP_POSITIVE_REGULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL	NYGC_ALS_Cervical_SC	negative	0.00157854667965574	13	SHANK3/RIMS1/NLGN3/SHANK1/PRKCZ/WNT7A/CUX2/STX1B/RIMS2/DVL1/IGSF11/GRIN1/DLG4	13/3111	25/22688	6.09601360029657e-06	GO:BP	GO:2000463	RNAseq
GOCC_PERIKARYON	NYGC_ALS_Cervical_SC	negative	0.00165357713300252	41	DLG2/WDFY3/TTLL7/TH/AZIN2/ROGDI/NTSR1/NEURL1/KCNK1/SLC1A1/SLC8A2/KCNA1/RGS7BP/KIF5A/MYO1D/EFNA2/CNTNAP2/DIP2B/OLFM1/KCNC3/SHTN1/CDK5R1/CPLX1/RTN4RL1/GJC2/SEPTIN4/ITGA1/GRIP1/SLC12A5/KCNB2/MCRS1/DMWD/HDAC6/UCN/PTPRS/CRHBP/CACNA1C/OPRK1/SLC8A3/PTPRN/DBNL	41/3111	149/22688	6.700432396074e-06	GO:CC	GO:0043204	RNAseq
GOMF_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY	NYGC_ALS_Cervical_SC	negative	0.00165357713300252	55	DOCK9/ARFGEF3/HERC2/MCF2L2/RALGPS1/ARHGEF2/ARHGEF7/DOCK3/RASGRF1/CYTH2/RAPGEF5/SBF1/MON1A/RASGRP2/SH3BP5L/CYTH1/RASGEF1C/ARHGEF33/MADD/ELMO1/ARHGEF37/RAPGEF4/DENND11/PLEKHG1/RASGRF2/ARHGEF15/DENND4B/DENND1A/IQSEC3/DOCK5/CYSLTR2/FGD5/ARHGEF18/MCF2L/HERC1/RAPGEF3/RHOF/FARP2/IQSEC1/VPS9D1/RAPGEF6/SH2D3C/ANKRD27/DENND5A/GDPGP1/PLEKHG3/RAPGEF2/PLEKHG5/DENND2C/RASGRP3/RAPGEFL1/EIF2B5/SPATA13/DOCK1/DOCK10	55/3111	222/22688	6.84189144752785e-06	GO:MF	GO:0005085	RNAseq
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE	NYGC_ALS_Cervical_SC	negative	0.00175900901113171	21	DLG2/KIF5C/DLG1/GRIP2/CACNG2/PRKCZ/CACNG7/ANKS1B/CACNG8/KIF5A/LRRC7/CPLX1/STX1B/GRIPAP1/GRIP1/GPHN/NPTX1/KIF17/DLG4/CNIH2/CACNG3	21/3111	56/22688	7.5207339398706e-06	GO:BP	GO:0097120	RNAseq
GOCC_CORTICAL_CYTOSKELETON	NYGC_ALS_Cervical_SC	negative	0.00192448713462421	32	SHROOM2/SHROOM1/DLC1/RIMS1/ACTN2/ACTN4/BSN/ERC1/LANCL2/PCLO/CLDN5/COBL/ERC2/SHROOM4/RAPGEF3/MOBP/PPP1R9A/CTTN/SPTB/SPTBN2/MYRIP/RIMS2/ANLN/DLG4/SPTBN4/LLGL2/SLC4A1/RTKN/NF2/NUMA1/DBNL/MYO1A	32/3111	106/22688	8.49367144201162e-06	GO:CC	GO:0030863	RNAseq
GOCC_SITE_OF_POLARIZED_GROWTH	NYGC_ALS_Cervical_SC	negative	0.00196030240799992	44	APBB2/KIF5C/NECTIN1/KLC1/UNC5C/APBB1/RASGRF1/ADGRL1/CYTH2/FRYL/ZFYVE27/TAOK2/FXR2/LMTK2/SHANK2/TSC1/EXOC7/MAPK8IP3/AUTS2/STMN4/PSEN1/PCDH9/COBL/CDK5R2/WHRN/ACAP3/LRIG2/GDPD5/ERC2/OLFM1/ABL1/SHTN1/CDK5R1/IGHMBP2/CTTN/DVL1/NEFL/MYH14/PTCH1/KATNB1/GPRIN1/PTPRS/FSCN1/DBNL	44/3111	166/22688	9.02248741403234e-06	GO:CC	GO:0030427	RNAseq
GOCC_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	NYGC_ALS_Cervical_SC	negative	0.00196030240799992	34	DLG2/SLITRK1/SHISA7/DLG1/NLGN3/SYNDIG1/CACNG2/CACNG7/CACNG8/RGS7BP/GRID1/ABHD17A/EFNB2/OPRD1/CHRNB2/LRFN3/ATP2B2/RNF10/ABHD17B/GPHN/LRRC4B/GRIN2D/GRIN2B/PRRT1/LRFN1/PTPRS/DLG4/CACNA1C/GABRA5/CNIH2/AKAP9/CACNG3/GRID2/SEMA4C	34/3111	116/22688	9.19247499686375e-06	GO:CC	GO:0099634	RNAseq
GOBP_ADULT_BEHAVIOR	NYGC_ALS_Cervical_SC	negative	0.00200978910109397	37	DBH/MECP2/SHANK3/SLITRK1/BTBD9/SHANK2/TSC1/NLGN3/SHANK1/NTSR1/CHRNA4/SLC1A1/CNTN2/KCNJ10/CNTNAP2/HOMER1/OPRD1/SEPTIN5/AGTPBP1/CHRNB2/CEND1/ZFHX2/CHD7/GRM2/SPTBN2/EHMT2/GRIN2D/CNP/NRXN2/NPC1/SEZ6/CRHBP/SPTBN4/OPRK1/ALK/CLN8/SDK1	37/3111	131/22688	9.70172584369548e-06	GO:BP	GO:0030534	RNAseq
GOCC_CELL_CORTEX_REGION	NYGC_ALS_Cervical_SC	negative	0.00221740055988025	16	TCHP/RIMS1/UNC13A/PPFIA3/PRKCZ/BSN/DCTN1/ERC1/PCLO/ERC2/RIMS2/GPSM2/GNAI1/CLASP2/NUMA1/PHLDB1	16/3111	37/22688	1.10097414558514e-05	GO:CC	GO:0099738	RNAseq
GOBP_DENDRITIC_SPINE_DEVELOPMENT	NYGC_ALS_Cervical_SC	negative	0.00253589033354567	28	SHANK3/EPHB2/SRCIN1/SHANK1/DIP2A/LRP8/WNT7A/NEURL1/PSEN1/KIF1A/DNM3/CUX2/CDK5R1/CAMK2A/IQSEC1/CPEB3/DVL1/SLC12A5/FSTL4/TANC2/HDAC6/PTPRS/DLG4/FOXO6/C21orf91/DOCK10/DBNL/SDK1	28/3111	89/22688	1.29408457061745e-05	GO:BP	GO:0060996	RNAseq
GOCC_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_MEMBRANE	NYGC_ALS_Cervical_SC	negative	0.0026664368035784	35	GRM3/SLITRK1/SHISA7/EPHB2/GABRD/NLGN3/CACNG2/SLC6A1/CACNG7/CNTN2/KCNA1/RGS7BP/GRID1/ABHD17A/EFNB2/OPRD1/ABHD6/CHRNB2/LRFN3/KCNC1/ATP2B2/GRM2/LRRC4B/GRIN2D/GABBR1/SLC6A9/ADORA1/LRFN1/PTPRS/DLG4/GABRA5/OPRK1/CNIH2/CACNG3/GRID2	35/3111	123/22688	1.39747921906476e-05	GO:CC	GO:0098936	RNAseq
GOCC_INTRINSIC_COMPONENT_OF_SYNAPTIC_MEMBRANE	NYGC_ALS_Cervical_SC	negative	0.00290149446756665	42	GRM3/NECTIN1/SLITRK1/SHISA7/EPHB2/GABRD/NLGN3/CACNG2/SLC6A1/CACNG7/PSEN1/CNTN2/KCNA1/NTNG2/RGS7BP/GRID1/PTPRD/KCNJ9/SYT7/ABHD17A/EFNB2/OPRD1/ABHD6/CHRNB2/LRFN3/KCNC1/ATP2B2/GRM2/GPHN/LRRC4B/GRIN2D/GABBR1/SLC6A9/ADORA1/LRFN1/PTPRS/DLG4/GABRA5/OPRK1/CNIH2/CACNG3/GRID2	42/3111	159/22688	1.56069062170942e-05	GO:CC	GO:0099240	RNAseq
GOBP_MODULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL	NYGC_ALS_Cervical_SC	negative	0.00300933247061789	16	SHANK3/RIMS1/NLGN3/SHANK1/PRKCZ/WNT7A/SLC8A2/CUX2/STX1B/RIMS2/DVL1/IGSF11/CBLN1/GRIN1/DLG4/SLC8A3	16/3111	38/22688	1.66020084035249e-05	GO:BP	GO:0098815	RNAseq
GOBP_RESPONSE_TO_POTASSIUM_ION	NYGC_ALS_Cervical_SC	negative	0.00312068475250783	9	DLG2/CACNA1H/ADAMTS13/KCNC1/CARF/NPTX1/SLC12A2/CRHBP/DLG4	9/3111	14/22688	1.76467292552526e-05	GO:BP	GO:0035864	RNAseq
GOBP_NEURON_PROJECTION_ORGANIZATION	NYGC_ALS_Cervical_SC	negative	0.00330371125611596	27	PICK1/INSR/SHANK3/EPHB2/SRCIN1/IGF1R/SHANK1/DIP2A/LRP8/WNT7A/PSEN1/KIF1A/DCTN1/DNM3/CUX2/HOMER1/CDK5R1/CTTN/ABHD17B/DVL1/GRIN2B/TANC2/HDAC6/DLG4/TANC1/DOCK10/DBNL	27/3111	86/22688	1.91373517884766e-05	GO:BP	GO:0106027	RNAseq
