ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Cluster
GOBP_RESPONSE_TO_ACID_CHEMICAL	GOBP_RESPONSE_TO_ACID_CHEMICAL	4/40	100/16462	9.90422280277928e-05	0.00530866342228969	0.00366282485408048	MTOR/RRAGA/RRAGC/RPTOR	4	0
GOMF_RDNA_BINDING	GOMF_RDNA_BINDING	2/40	7/16462	0.000119966893249157	0.00567372836307777	0.00391470914813038	MTOR/RPTOR	2	0
GOMF_RNA_POLYMERASE_III_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	GOMF_RNA_POLYMERASE_III_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	2/40	7/16462	0.000119966893249157	0.00567372836307777	0.00391470914813038	MTOR/RPTOR	2	0
GOBP_GENE_SILENCING_BY_RNA	GOBP_GENE_SILENCING_BY_RNA	4/40	108/16462	0.000133481108524391	0.00596215618075614	0.0041137160346406	CNOT2/CNOT3/CNOT10/XPO5	4	0
GOBP_RESPONSE_TO_AMINO_ACID_STARVATION	GOBP_RESPONSE_TO_AMINO_ACID_STARVATION	3/40	44/16462	0.000164267336643408	0.00695110203480529	0.0047960601889793	MTOR/RRAGA/RRAGC	3	0
GOBP_CELLULAR_RESPONSE_TO_LEUCINE	GOBP_CELLULAR_RESPONSE_TO_LEUCINE	2/40	9/16462	0.000205025482061757	0.00824202437888264	0.00568675942350242	MTOR/RPTOR	2	0
GOBP_PROTEIN_EXPORT_FROM_NUCLEUS	GOBP_PROTEIN_EXPORT_FROM_NUCLEUS	3/40	52/16462	0.000270444819579948	0.0102451907636673	0.00706888653109804	XPO7/XPO5/XPO4	3	0
GOBP_CELLULAR_RESPONSE_TO_STARVATION	GOBP_CELLULAR_RESPONSE_TO_STARVATION	4/40	131/16462	0.000280341040796867	0.0102451907636673	0.00706888653109804	MTOR/RRAGA/RRAGC/RPTOR	4	0
GOBP_PROGRAMMED_CELL_DEATH_IN_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	GOBP_PROGRAMMED_CELL_DEATH_IN_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	2/40	11/16462	0.000312270996740744	0.0104610783908149	0.00721784277554263	ENDOG/PDCD10	2	0
GOCC_TOR_COMPLEX	GOCC_TOR_COMPLEX	2/40	11/16462	0.000312270996740744	0.0104610783908149	0.00721784277554263	MTOR/RPTOR	2	0
GOBP_REGULATION_OF_RNA_EXPORT_FROM_NUCLEUS	GOBP_REGULATION_OF_RNA_EXPORT_FROM_NUCLEUS	2/40	12/16462	0.000374149228100694	0.0120326391757183	0.00830217445090803	IWS1/NUP153	2	0
GOMF_GTPASE_BINDING	GOMF_GTPASE_BINDING	5/40	265/16462	0.000432072675323676	0.0131467941367693	0.00907090928263604	TBC1D21/XPO7/IPO13/RRAGC/XPO5	5	0
GOBP_RESPONSE_TO_LEUCINE	GOBP_RESPONSE_TO_LEUCINE	2/40	13/16462	0.000441496818025834	0.0131467941367693	0.00907090928263604	MTOR/RPTOR	2	0
GOBP_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT	GOBP_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT	2/40	14/16462	0.000514288157303799	0.0147674170882948	0.0101890924398159	IWS1/NUP153	2	0
GOBP_RESPONSE_TO_STARVATION	GOBP_RESPONSE_TO_STARVATION	4/40	156/16462	0.000543740675797239	0.0150747414945166	0.0104011374281359	MTOR/RRAGA/RRAGC/RPTOR	4	0
GOBP_TROPHECTODERMAL_CELL_DIFFERENTIATION	GOBP_TROPHECTODERMAL_CELL_DIFFERENTIATION	2/40	15/16462	0.000592497723515823	0.0158789389902241	0.0109560105365908	CNOT2/CNOT3	2	0
GOBP_REGULATION_OF_AUTOPHAGY	GOBP_REGULATION_OF_AUTOPHAGY	5/40	292/16462	0.000671409241044197	0.0169870145296697	0.0117205507425189	MTOR/RRAGA/RRAGC/RPTOR/ENDOG	5	0
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_HEAT	GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_HEAT	2/40	16/16462	0.000676100080782873	0.0169870145296697	0.0117205507425189	MTOR/CHORDC1	2	0
GOBP_RNA_EXPORT_FROM_NUCLEUS	GOBP_RNA_EXPORT_FROM_NUCLEUS	3/40	75/16462	0.000794991312687839	0.0193688792545764	0.0133639687970173	IWS1/NUP153/XPO5	3	0
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_III	GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_III	2/40	18/16462	0.000859381856146173	0.0203218533041624	0.0140214934423849	MTOR/RPTOR	2	0
GOCC_P_BODY	GOCC_P_BODY	3/40	79/16462	0.000924787401233858	0.0211819436989335	0.0146149310412909	CNOT2/LSM6/CNOT3	3	0
GOMF_MAGNESIUM_ION_BINDING	GOMF_MAGNESIUM_ION_BINDING	4/40	181/16462	0.000948445240250754	0.0211819436989335	0.0146149310412909	RP2/RPS6KA1/RRAGC/ENDOG	4	0
GOCC_NUCLEAR_PORE	GOCC_NUCLEAR_PORE	3/40	81/16462	0.000994428032863074	0.0216086523897814	0.0149093477473354	XPO7/NUP153/XPO4	3	0
GOBP_CELLULAR_RESPONSE_TO_EXTRACELLULAR_STIMULUS	GOBP_CELLULAR_RESPONSE_TO_EXTRACELLULAR_STIMULUS	4/40	185/16462	0.00102866000111925	0.0217642800236809	0.0150167263321286	MTOR/RRAGA/RRAGC/RPTOR	4	0
GOBP_REGULATION_OF_NUCLEOCYTOPLASMIC_TRANSPORT	GOBP_REGULATION_OF_NUCLEOCYTOPLASMIC_TRANSPORT	3/40	87/16462	0.00122302246980019	0.0252130786081886	0.0173962980184805	IWS1/NUP153/XPO4	3	0
GOBP_CELL_DEATH_IN_RESPONSE_TO_HYDROGEN_PEROXIDE	GOBP_CELL_DEATH_IN_RESPONSE_TO_HYDROGEN_PEROXIDE	2/40	23/16462	0.0014101961740388	0.0269951839030285	0.0186258993413145	ENDOG/PDCD10	2	0
GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE	GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE	2/40	23/16462	0.0014101961740388	0.0269951839030285	0.0186258993413145	AKT3/ENDOG	2	0
GOBP_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING	GOBP_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING	2/40	23/16462	0.0014101961740388	0.0269951839030285	0.0186258993413145	CNOT2/CNOT3	2	0
GOBP_MRNA_CATABOLIC_PROCESS	GOBP_MRNA_CATABOLIC_PROCESS	4/40	204/16462	0.00147588995642366	0.0274438337240435	0.0189354547951963	CNOT2/LSM6/CNOT3/CNOT10	4	0
GOBP_REGULATION_OF_PEPTIDYL_SERINE_PHOSPHORYLATION	GOBP_REGULATION_OF_PEPTIDYL_SERINE_PHOSPHORYLATION	3/40	94/16462	0.00152860892436808	0.0274438337240435	0.0189354547951963	PLCL2/RPTOR/PDCD10	3	0
GOBP_EPIBOLY	GOBP_EPIBOLY	2/40	24/16462	0.0015360354696293	0.0274438337240435	0.0189354547951963	MTOR/PDCD10	2	0
GOBP_ENDOTHELIAL_CELL_PROLIFERATION	GOBP_ENDOTHELIAL_CELL_PROLIFERATION	3/40	95/16462	0.00157580979465657	0.0275424146718235	0.0190034728097028	AKT3/RPTOR/PDCD10	3	0
GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION	GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION	2/40	25/16462	0.00166704248609809	0.0285170672089971	0.0196759549870928	MTOR/EIF4B	2	0
GOCC_RIBONUCLEOPROTEIN_GRANULE	GOCC_RIBONUCLEOPROTEIN_GRANULE	4/40	221/16462	0.00197805011153044	0.032994197257495	0.0227650457642051	CNOT2/LSM6/CNOT3/RPTOR	4	0
GOBP_CELLULAR_RESPONSE_TO_EXTERNAL_STIMULUS	GOBP_CELLULAR_RESPONSE_TO_EXTERNAL_STIMULUS	4/40	222/16462	0.00201084038012096	0.032994197257495	0.0227650457642051	MTOR/RRAGA/RRAGC/RPTOR	4	0
GOBP_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_III	GOBP_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_III	2/40	29/16462	0.00224225733023356	0.0360554978701556	0.0248772550112229	MTOR/RPTOR	2	0
GOBP_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	GOBP_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	2/40	30/16462	0.00239873585879975	0.0378153653034314	0.0260915128501026	AKT3/PDCD10	2	0
GOBP_REGULATION_OF_STEM_CELL_POPULATION_MAINTENANCE	GOBP_REGULATION_OF_STEM_CELL_POPULATION_MAINTENANCE	2/40	31/16462	0.00256023585443364	0.0388382948483895	0.0267973047723243	CNOT2/CNOT3	2	0
GOCC_TRANSCRIPTION_FACTOR_TFIID_COMPLEX	GOCC_TRANSCRIPTION_FACTOR_TFIID_COMPLEX	2/40	31/16462	0.00256023585443364	0.0388382948483895	0.0267973047723243	GTF2E1/TCEA1	2	0
GOBP_RNA_CATABOLIC_PROCESS	GOBP_RNA_CATABOLIC_PROCESS	4/40	242/16462	0.00274845604474439	0.0409214566661942	0.0282346264245671	CNOT2/LSM6/CNOT3/CNOT10	4	0
GOBP_ACTIN_FILAMENT_POLYMERIZATION	GOBP_ACTIN_FILAMENT_POLYMERIZATION	3/40	122/16462	0.00321254578403683	0.0467464269548562	0.0322536881450762	ABITRAM/MTOR/PREX1	3	0
GOBP_BLASTOCYST_FORMATION	GOBP_BLASTOCYST_FORMATION	2/40	35/16462	0.00325597003665665	0.0467464269548562	0.0322536881450762	CNOT2/CNOT3	2	0
GOBP_EPITHELIAL_CELL_PROLIFERATION	GOBP_EPITHELIAL_CELL_PROLIFERATION	4/40	262/16462	0.00365387630531904	0.0515388868329212	0.0355603474220339	AKT3/RPS6KA1/RPTOR/PDCD10	4	0
GOBP_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	GOBP_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	2/40	40/16462	0.00423575482779455	0.0587163255439106	0.0405125733983253	AKT3/PDCD10	2	0
GOBP_IMPORT_INTO_NUCLEUS	GOBP_IMPORT_INTO_NUCLEUS	3/40	136/16462	0.00435841246663925	0.0589154221814373	0.0406499443435683	NUP153/TMCO6/IPO13	3	0
GOBP_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY	GOBP_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY	4/40	276/16462	0.00439667329712218	0.0589154221814373	0.0406499443435683	BCCIP/RPTOR/PDCD10/CHORDC1	4	0
GOBP_REGULATION_OF_INTRACELLULAR_TRANSPORT	GOBP_REGULATION_OF_INTRACELLULAR_TRANSPORT	4/40	278/16462	0.00451051371569011	0.0594500496297517	0.0410188218838428	IWS1/NUP153/XPO4/PDCD10	4	0
GOBP_REGULATION_OF_CELLULAR_COMPONENT_SIZE	GOBP_REGULATION_OF_CELLULAR_COMPONENT_SIZE	4/40	281/16462	0.00468499249806462	0.0607537736845799	0.0419183539300518	ABITRAM/MTOR/AKT3/RPTOR	4	0
GOBP_ESTABLISHMENT_OF_RNA_LOCALIZATION	GOBP_ESTABLISHMENT_OF_RNA_LOCALIZATION	3/40	143/16462	0.00501316787127162	0.0632226243628242	0.0436217897868661	IWS1/NUP153/XPO5	3	0
GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION	GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION	3/40	144/16462	0.00511128182037758	0.0632226243628242	0.0436217897868661	ABITRAM/MTOR/PREX1	3	0
GOMF_RIBONUCLEOPROTEIN_COMPLEX_BINDING	GOMF_RIBONUCLEOPROTEIN_COMPLEX_BINDING	3/40	144/16462	0.00511128182037758	0.0632226243628242	0.0436217897868661	MTOR/XPO5/EIF4B	3	0
GOBP_MORPHOGENESIS_OF_AN_EPITHELIAL_SHEET	GOBP_MORPHOGENESIS_OF_AN_EPITHELIAL_SHEET	2/40	45/16462	0.00533515089339128	0.0649918381558574	0.044842496344772	MTOR/PDCD10	2	0
GOMF_MRNA_BINDING	GOMF_MRNA_BINDING	30/97	283/16462	8.68252330616563e-30	8.7172533993903e-27	7.29331957717913e-27	RBPMS2/SRSF1/NOVA1/ELAVL2/RBMX/HNRNPAB/CELF5/TIA1/RBFOX1/LIN28A/CELF4/CELF1/RBFOX2/POLDIP3/HNRNPC/ELAVL3/TARDBP/KHSRP/ADARB1/TIAL1/GRSF1/LARP4/NCL/RBM38/NOVA2/CIRBP/LSM14A/CHTOP/PCBP3/ZC3H11A	30	1
GOBP_REGULATION_OF_RNA_SPLICING	GOBP_REGULATION_OF_RNA_SPLICING	24/97	142/16462	7.80120086750224e-29	3.91620283548613e-26	3.27650436435094e-26	SRSF1/MBNL2/MBNL1/NOVA1/RBMX/CELF5/TIA1/RBFOX1/SRSF10/CELF4/CELF1/RBFOX2/HABP4/SRSF2/HNRNPA1/GRSF1/NCL/RBM38/HNRNPH3/HNRNPH1/HNRNPH2/NOVA2/CIRBP/SRPK1	24	1
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	26/97	280/16462	2.957602135375e-24	9.89810847972167e-22	8.28128597905e-22	SRSF1/MBNL2/MBNL1/SNRPA/NOVA1/RBMX/CELF5/CD2BP2/TIA1/RBFOX1/SRSF10/CELF4/CELF1/RBFOX2/HNRNPC/RBMY1J/KHSRP/SRSF2/HNRNPA1/NCL/HNRNPH3/HNRNPH1/RALY/NOVA2/CIRBP/SRPK1	26	1
GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	17/97	98/16462	8.9045374885396e-21	2.23503890962344e-18	1.86995287259332e-18	MBNL2/MBNL1/NOVA1/RBMX/CELF5/TIA1/RBFOX1/SRSF10/CELF4/CELF1/RBFOX2/SRSF2/HNRNPA1/NCL/NOVA2/CIRBP/SRPK1	17	1
GOBP_REGULATION_OF_MRNA_PROCESSING	GOBP_REGULATION_OF_MRNA_PROCESSING	18/97	132/16462	5.61290095570609e-20	1.12707051190578e-17	9.42967360558623e-18	MBNL2/MBNL1/SNRPA/NOVA1/RBMX/CELF5/TIA1/RBFOX1/SRSF10/CELF4/CELF1/RBFOX2/SRSF2/HNRNPA1/NCL/NOVA2/CIRBP/SRPK1	18	1
GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS	GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS	22/97	257/16462	8.89405302393537e-20	1.48827153933852e-17	1.24516742335095e-17	MBNL2/MBNL1/SNRPA/NOVA1/RBMX/HNRNPAB/CELF5/TIA1/RBFOX1/SRSF10/CELF4/CELF1/RBFOX2/HNRNPC/TARDBP/KHSRP/SRSF2/HNRNPA1/NCL/NOVA2/CIRBP/SRPK1	22	1
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	15/97	73/16462	1.27688738675652e-19	1.83142133757649e-17	1.53226486410782e-17	SRSF1/MBNL2/MBNL1/NOVA1/RBMX/CELF5/TIA1/RBFOX1/CELF4/CELF1/RBFOX2/RBMY1J/SRSF2/HNRNPA1/NOVA2	15	1
GOBP_REGULATION_OF_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	GOBP_REGULATION_OF_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	13/97	58/16462	1.13936662444724e-17	1.42990511368128e-15	1.1963349556696e-15	MBNL2/MBNL1/NOVA1/RBMX/CELF5/TIA1/RBFOX1/CELF4/CELF1/RBFOX2/SRSF2/HNRNPA1/NOVA2	13	1
GOMF_MRNA_3_UTR_BINDING	GOMF_MRNA_3_UTR_BINDING	12/97	83/16462	5.96797790065256e-14	6.65761090250574e-12	5.57011270727572e-12	NOVA1/ELAVL2/TIA1/RBFOX1/CELF1/HNRNPC/ELAVL3/TARDBP/KHSRP/TIAL1/LARP4/CIRBP	12	1
GOCC_RIBONUCLEOPROTEIN_GRANULE	GOCC_RIBONUCLEOPROTEIN_GRANULE	16/97	221/16462	1.95937082092166e-13	1.96720830420535e-11	1.6458714895742e-11	MBNL1/HNRNPAB/TIA1/RBFOX1/LIN28A/CELF1/POLDIP3/HABP4/TARDBP/TIAL1/GRSF1/LARP4/NCL/CIRBP/LSM14A/CHTOP	16	1
GOCC_CYTOPLASMIC_STRESS_GRANULE	GOCC_CYTOPLASMIC_STRESS_GRANULE	11/97	74/16462	5.11240217805799e-13	4.66622889706384e-11	3.90401620869883e-11	MBNL1/TIA1/RBFOX1/LIN28A/CELF1/HABP4/TARDBP/TIAL1/LARP4/CIRBP/LSM14A	11	1
GOCC_SPLICEOSOMAL_COMPLEX	GOCC_SPLICEOSOMAL_COMPLEX	11/97	184/16462	1.0887102550771e-08	9.10887580081177e-07	7.62097178553973e-07	SRSF1/SNRPA/RBMX/HNRNPC/SRSF2/HNRNPA1/NCL/HNRNPH3/HNRNPH1/RALY/CIRBP	11	1
GOMF_SINGLE_STRANDED_RNA_BINDING	GOMF_SINGLE_STRANDED_RNA_BINDING	8/97	76/16462	1.47053276308987e-08	1.13570376472479e-06	9.50190400765761e-07	TIA1/ADARB2/STRBP/HNRNPC/HNRNPA1/LARP4/HNRNPH1/LSM14A	8	1
GOMF_PRE_MRNA_BINDING	GOMF_PRE_MRNA_BINDING	6/97	36/16462	6.0443276840839e-08	4.19150472482301e-06	3.50683662236188e-06	CELF5/CELF4/CELF1/TARDBP/SRSF2/HNRNPA1	6	1
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	GOBP_NEGATIVE_REGULATION_OF_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	11/97	218/16462	6.26220825421765e-08	4.19150472482301e-06	3.50683662236188e-06	TIA1/LIN28A/CELF4/CELF1/HNRNPC/TARDBP/KHSRP/HNRNPA1/NCL/CIRBP/LSM14A	11	1
GOBP_NEGATIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS	GOBP_NEGATIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS	7/97	72/16462	2.13451527880266e-07	1.33940833744867e-05	1.1206205213714e-05	RBMX/HNRNPAB/SRSF10/CELF4/HNRNPC/TARDBP/CIRBP	7	1
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_AMIDE_METABOLIC_PROCESS	GOBP_NEGATIVE_REGULATION_OF_CELLULAR_AMIDE_METABOLIC_PROCESS	9/97	175/16462	9.04104542104102e-07	4.99102294955007e-05	4.17575625261161e-05	TIA1/LIN28A/CELF4/CELF1/TARDBP/KHSRP/NCL/CIRBP/LSM14A	9	1
GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY	GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY	6/97	56/16462	9.16383881820856e-07	4.99102294955007e-05	4.17575625261161e-05	SRSF1/CELF5/SRSF10/CELF4/CELF1/SRPK1	6	1
GOBP_MRNA_SPLICE_SITE_SELECTION	GOBP_MRNA_SPLICE_SITE_SELECTION	5/97	31/16462	9.63336992222276e-07	4.99102294955007e-05	4.17575625261161e-05	SRSF1/CELF5/SRSF10/CELF4/CELF1	5	1
GOBP_RNA_LOCALIZATION	GOBP_RNA_LOCALIZATION	9/97	177/16462	9.94227679193241e-07	4.99102294955007e-05	4.17575625261161e-05	SRSF1/SHQ1/HNRNPAB/RBFOX1/POLDIP3/KHSRP/HNRNPA1/CHTOP/ZC3H11A	9	1
GOMF_DOUBLE_STRANDED_RNA_BINDING	GOMF_DOUBLE_STRANDED_RNA_BINDING	6/97	61/16462	1.53044176950845e-06	7.09973758204837e-05	5.94001949095681e-05	MBNL1/ADARB2/STRBP/ADARB1/MRPL44/LSM14A	6	1
GOBP_POSITIVE_REGULATION_OF_RNA_SPLICING	GOBP_POSITIVE_REGULATION_OF_RNA_SPLICING	5/97	34/16462	1.55571939048869e-06	7.09973758204837e-05	5.94001949095681e-05	RBMX/CELF4/HABP4/NCL/CIRBP	5	1
GOBP_POSITIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS	GOBP_POSITIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS	7/97	110/16462	3.84405422187342e-06	0.000167801323424387	0.000140391545494507	RBMX/CELF4/CELF1/TARDBP/KHSRP/NCL/CIRBP	7	1
GOBP_POSITIVE_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	GOBP_POSITIVE_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	4/97	20/16462	5.1046460450834e-06	0.000213544359552656	0.000178662611577919	RBMX/CELF4/NCL/CIRBP	4	1
GOMF_MRNA_3_UTR_AU_RICH_REGION_BINDING	GOMF_MRNA_3_UTR_AU_RICH_REGION_BINDING	4/97	21/16462	6.27729753346166e-06	0.00025209626894382	0.000210917197124312	TIA1/ELAVL3/KHSRP/TIAL1	4	1
GOBP_RIBONUCLEOPROTEIN_COMPLEX_SUBUNIT_ORGANIZATION	GOBP_RIBONUCLEOPROTEIN_COMPLEX_SUBUNIT_ORGANIZATION	8/97	176/16462	9.36343548766038e-06	0.000361572662677347	0.000302510992678258	SRSF1/SHQ1/CELF5/CD2BP2/SRSF10/CELF4/CELF1/SRPK1	8	1
GOCC_CATALYTIC_STEP_2_SPLICEOSOME	GOCC_CATALYTIC_STEP_2_SPLICEOSOME	6/97	87/16462	1.23064573757935e-05	0.000457617896492471	0.000382867562802466	SRSF1/RBMX/HNRNPC/HNRNPA1/HNRNPH1/RALY	6	1
GOBP_RNA_CATABOLIC_PROCESS	GOBP_RNA_CATABOLIC_PROCESS	9/97	242/16462	1.28295074193675e-05	0.000460029480323034	0.000384885222581024	HNRNPAB/LIN28A/CELF1/HNRNPC/TARDBP/KHSRP/GRSF1/MRPL44/CIRBP	9	1
GOBP_ESTABLISHMENT_OF_RNA_LOCALIZATION	GOBP_ESTABLISHMENT_OF_RNA_LOCALIZATION	7/97	143/16462	2.15620923548633e-05	0.000746494507733887	0.000624557157865005	SRSF1/RBFOX1/POLDIP3/KHSRP/HNRNPA1/CHTOP/ZC3H11A	7	1
GOBP_POSITIVE_REGULATION_OF_MRNA_PROCESSING	GOBP_POSITIVE_REGULATION_OF_MRNA_PROCESSING	4/97	29/16462	2.40267072501061e-05	0.000804093802636885	0.000672747803002971	RBMX/CELF4/NCL/CIRBP	4	1
GOMF_SEQUENCE_SPECIFIC_MRNA_BINDING	GOMF_SEQUENCE_SPECIFIC_MRNA_BINDING	3/97	12/16462	4.19815558065214e-05	0.00135966071063702	0.00113756473798316	NOVA1/LIN28A/NOVA2	3	1
GOBP_MRNA_TRANSPORT	GOBP_MRNA_TRANSPORT	6/97	112/16462	5.18029583296221e-05	0.00162531781759189	0.00135982765615258	SRSF1/POLDIP3/KHSRP/HNRNPA1/CHTOP/ZC3H11A	6	1
GOBP_RRNA_METABOLIC_PROCESS	GOBP_RRNA_METABOLIC_PROCESS	8/97	247/16462	0.000104959885011259	0.00319332498640316	0.00267170616392297	SHQ1/NPM3/UTP14A/NOC4L/WDR3/NCL/GAR1/MRPL44	8	1
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT	GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT	7/97	185/16462	0.000110742527195759	0.00327016168542771	0.00273599184836581	SRSF1/RBFOX1/POLDIP3/KHSRP/HNRNPA1/CHTOP/ZC3H11A	7	1
GOBP_NEGATIVE_REGULATION_OF_MRNA_CATABOLIC_PROCESS	GOBP_NEGATIVE_REGULATION_OF_MRNA_CATABOLIC_PROCESS	4/97	44/16462	0.000128343608038254	0.00368162807058306	0.0030802465929181	HNRNPAB/HNRNPC/TARDBP/CIRBP	4	1
